subscription ID	Plan	Product	Interval	Amount	Status
sub_1PzRAhI9Qa85Sr7CIInbOFRO	price_1Nxx3xI9Qa85Sr7CRaEOofhv	Chat Elevate : 10k MAU	month	675	active
sub_1PlVLOI9Qa85Sr7CwWhVwLJy	price_1Nxx3xI9Qa85Sr7CRaEOofhv	Chat Elevate : 10k MAU	month	675	active
sub_1PhsGxI9Qa85Sr7CwxNBE7WJ	price_1Nxx3xI9Qa85Sr7CRaEOofhv	Chat Elevate : 10k MAU	month	675	active
sub_1PbUwwI9Qa85Sr7C1ZjTVKca	price_1Nxx3xI9Qa85Sr7CRaEOofhv	Chat Elevate : 10k MAU	month	675	active
sub_1PDhcwI9Qa85Sr7C8f0P6BE7	price_1Nxx3xI9Qa85Sr7CRaEOofhv	Chat Elevate : 10k MAU	month	675	active
sub_1PDTMiI9Qa85Sr7CPZhg4gzv	price_1Nxx3xI9Qa85Sr7CRaEOofhv	Chat Elevate : 10k MAU	month	675	active
sub_1PD8V7I9Qa85Sr7Cv1P8fWJK	price_1Nxx3xI9Qa85Sr7CRaEOofhv	Chat Elevate : 10k MAU	month	675	active
sub_1P67PHI9Qa85Sr7Cp4JGwOo9	price_1Nxx3xI9Qa85Sr7CRaEOofhv	Chat Elevate : 10k MAU	month	675	active
sub_1OpE7BI9Qa85Sr7CoZL9TNDh	price_1Nxx3xI9Qa85Sr7CRaEOofhv	Chat Elevate : 10k MAU	month	675	active
sub_1OovuSI9Qa85Sr7CywFz43KL	price_1Nxx3xI9Qa85Sr7CRaEOofhv	Chat Elevate : 10k MAU	month	675	active
